listing_id,host_id,host_since,name,neighbourhood,district,property_type,room_type,bedrooms,price,number_of_reviews,review_scores_rating
53268570,3465149,2012-09-04,NICE APARTMENT IN SARRIÀ,Sarrià,Sarrià-Sant Gervasi,Entire condo,Entire home/apt,2.0,100.0,0,
43938661,265147782,2019-05-30,Beautiful 2 bedrooms apartment in Balmes,el Putxet i el Farró,Sarrià-Sant Gervasi,Entire condo,Entire home/apt,2.0,63.0,0,
823242209390929382,21726991,2014-09-24,Charlie's Penthouse Terrace. (Temporal). m,la Nova Esquerra de l'Eixample,Eixample,Entire rental unit,Entire home/apt,3.0,100.0,0,
19536700,134698146,2017-06-12,"Viladomat, large 4bed/2bath with balcony",Sant Antoni,Eixample,Entire rental unit,Entire home/apt,4.0,247.0,66,4.23
2996993,6544866,2013-05-23,Large two bedroom apartment,la Dreta de l'Eixample,Eixample,Entire rental unit,Entire home/apt,2.0,193.0,42,4.71
52110553,352597620,2020-06-29,Room with balcony in the heart of Barcelona,el Raval,Ciutat Vella,Private room in rental unit,Private room,1.0,56.0,49,3.71
36399742,731009,2011-06-22,Piso con 1 habitacion y terraza privada,Sants,Sants-Montjuïc,Entire rental unit,Entire home/apt,1.0,50.0,4,4.67
53323226,36020914,2015-06-17,Stylish apartment 800m from Sagrada Familia,el Camp d'en Grassot i Gràcia Nova,Gràcia,Entire rental unit,Entire home/apt,1.0,131.0,99,4.98
5524663,28650046,2015-03-02,Nice room in center of barcelona,Sant Antoni,Eixample,Private room in rental unit,Private room,1.0,52.0,72,4.63
641195751470685487,187494825,2018-05-02,1New duplex studio with balcony 2`from the metroL5,Sants,Sants-Montjuïc,Entire guesthouse,Entire home/apt,1.0,55.0,1,5.0
720160135980281641,479726091,2022-09-16,Double room at Catalonia La Maquinista 4* Hotel,el Bon Pastor,Sant Andreu,Room in hotel,Private room,,128.0,3,4.67
12207845,47347356,2015-10-24,Tetuan apartment Very central 3 bed/3 bath Terraza,el Fort Pienc,Eixample,Entire condo,Entire home/apt,3.0,281.0,157,4.9
